region,gr,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,year
michigan,0.850969326794472,0,531291425,8525624,798702,7368351,1476545,474000,60000,841386,3407436,2645476,2234452,2121092,8836191,39097018,0,256562,639367,0,0,1036231,0,0,4143922,1,0,1629489,11578728,4615712,91593541,0,9444433,-514,5599431,18796716,2014
minnesota,0.825179350905944,0,150553610,1520441,420295,18562893,2978955,0,24240,0,0,356914,647502,7832225,6424200,11661389,0,838504,0,0,220330,276475,0,0,2414995,0,0,609622,8323350,1461299,31188408,0,6588787,0,0,6924060,2014
mississippi,0.815278120374938,0,179471480,1030230,911240,1182348,467928,0,53986,0,1572156,-2962,522332,7324348,0,13037093,0,0,54287,0,852875,0,8e+06,0,4868451,0,0,416508,1455333,1691481,32628392,0,5074756,0,1,4950650,2014
missouri,0.897909610647166,0,232503810,1510887,1547116,24701381,64203,432037,60000,424201,0,1163647,1046820,831909,-227783,17669591,0,0,188048,0,0,0,0,0,7564275,1215616,0,444898,6043358,2518642,39558400,0,6933662,0,2,7549570,2014
montana,0.852212527120083,0,44508592,1002297,110865,41432831,2696945,0,120000,0,0,1e+06,195907,520993,0,5638763,0,2176609,4604,0,0,0,0,985120,2535552,0,0,0,1235060,744842,10794347,0,3626971,4977226,0,2986686,2014
nebraska,0.874906507958225,0,68605238,5071134,377072,11563749,867306,0,37751,0,0,1327431,313327,1774039,0,5638763,0,972618,5331,0,0,0,0,0,3274598,827427,0,0,3183555,744842,11145666,0,4287736,0,0,2459357,2014
nevada,0.759357113297043,0,107727236,124655,400995,2767158,658553,0,85034,0,0,2657341,526193,-107114,-292739,8799115,0,0,435616,0,0,235955,0,0,239257,3448348,0,0,7552940,1247015,11439253,0,4862741,12430601,5269132,3734565,2014
new hampshire,0.88318954425408,0,41308687,145591,523599,1995,0,0,120000,0,0,450211,189363,395469,2445077,5638763,0,0,30399,0,0,0,0,0,1471867,0,0,0,1453108,744842,10861325,0,3791709,0,0,1374971,2014
new jersey,0.89959385332487,0,295953258,1953483,1652495,14298657,0,0,60000,0,0,1532350,1363440,1255841,3948781,22273861,0,0,585366,1421478,-141118,0,0,0,1430958,0,0,1678329,21640610,2562663,52297549,0,8737151,0,10088343,11008129,2014
new mexico,0.691415105619769,0,115253054,917065,337939,79652930,6478021,1203341,61910,1593098,0,244050,482888,6356926,0,8824177,0,593204,46240,0,-357071,0,0,0,1288576,0,0,784474,5612656,1211047,18111652,0,4421169,0,0,3763026,2014
new york,0.813649038837992,575115,1116505241,9840386,2784956,42432902,1856092,0,26842,424147,5938997,2133589,4847085,14025151,30786749,84646136,6102592,95969,2574137,2357699,72414,3618326,0,0,3053867,975217,0,2520745,62451427,8085104,195456602,0,14815647,0,27458578,39225111,2014
north carolina,0.879487400117208,0,400049626,5582317,746754,15272430,3256803,474232,25638,0,3254917,747987,1778897,7297060,594864,31747898,0,86926,759099,3215055,1634507,0,0,0,6737930,0,0,1104646,14568187,4646423,49876917,0,9447812,0,-167647,15639454,2014
north dakota,0.852967832354512,0,33590632,232785,103591,22673816,1474584,0,120000,0,0,162804,162605,733718,0,5638763,0,1269140,0,0,0,0,0,0,350063,0,0,0,1396156,744842,10759137,0,3438975,0,0,1112652,2014
ohio,0.811076778064668,0,578340754,2641649,1037007,1885494,0,0,0,0,0,944639,2525315,4817690,1426774,45228315,0,0,349518,0,529919,444050,0,0,4534187,0,0,0,10488333,-3154089,86122160,0,10548704,0,2450731,19997445,2014
oklahoma,0.825545022644525,0,155061337,1527328,353792,33946394,23246740,0,60000,0,0,591655,687105,7246346,0,11618667,0,2010953,-77221,0,0,0,0,0,9859147,0,0,861026,5568271,1790153,26285979,0,5630081,0,0,4962647,2014
oregon,0.761768987051153,687362,151437007,10200314,1378559,2090306,1398392,922598,60000,906402,0,-674504,657555,767019,704983,12239435,0,682809,198258,0,0,867312,0,0,2379353,3524637,0,0,8085021,1533345,22258492,2806724,5418287,0,2,5543711,2014
pennsylvania,0.872541373126196,0,557111349,9016524,514470,2476747,0,0,60000,0,0,2742377,2452072,3920863,2409482,37925762,0,-32964,596608,438823,0,0,0,0,1688040,2347203,0,742735,16211779,4335338,93329949,-47184,10705658,33134527,2479928,18398298,2014
rhode island,0.850990659496179,542102,48981002,0,498308,1582062,0,0,0,0,0,-1073,213020,503190,429400,5638763,0,0,74057,0,0,0,0,0,33757,0,0,0,3450605,663015,10766346,0,3614047,0,0,3249275,2014
south carolina,0.807229107352202,0,214677752,558678,1569084,1350175,18405,0,120000,0,4771751,826636,964324,2628857,5255675,16936197,0,0,-1281,0,0,0,0,0,2324811,0,0,749957,3612291,1915590,28203518,0,6034426,-21,12287402,7211923,2014
south dakota,0.837509580641629,0,42906718,833013,163936,52150973,3340953,0,120000,0,0,-75253,187144,658865,0,5638763,0,648282,7513,0,0,0,0,0,776682,0,0,0,1193518,744842,8132917,0,3570300,0,0,1443618,2014
tennessee,0.88103377708845,0,276057988,572366,545827,3491612,0,0,120000,0,0,2881637,1253754,1126552,3112402,21812885,0,0,67516,495798,0,0,0,0,4598156,0,0,630099,6062058,1644026,38977994,0,7207273,0,8864562,9236052,2014
texas,0.898500414351923,696053,1355078627,58674033,2119373,95262495,493239,3002283,60000,1274954,7548979,4009737,5829317,14690745,11900232,106336064,0,247866,2755457,644862,2496950,664613,0,0,11763587,2486097,0,790105,107485322,14820988,187739235,0,22656446,57979212,29404366,46863406,2014
utah,0.847899806656539,0,88892117,1817138,1037310,8494089,1339565,0,-8645,0,0,1223064,402330,1554625,139479,7201188,0,0,0,0,0,0,0,0,647631,0,0,956413,4505330,1083965,14891003,-222574,5476619,0,0,3127799,2014
vermont,0.877934165720772,0,33230417,631082,210874,475535,218810,0,120000,0,0,-24927,162605,394045,0,5638763,0,0,29928,0,0,0,0,0,3068,0,0,0,495777,744842,10868733,0,3355365,0,0,0,2014
virginia,0.859329867004705,0,228486713,790242,1261618,35001700,11594,0,120000,0,0,675626,1043882,387883,-457,17755595,0,0,358608,571815,0,0,0,0,2055024,0,0,593137,12263478,2322452,45721892,-1,8211318,0,1,7611296,2014
washington,0.784753617005258,0,214343931,15037883,1462486,38712369,3480729,1894516,60000,2963663,0,1613555,961986,2672026,1122606,16764949,0,1173101,591293,0,0,614096,0,0,2391307,2964531,0,0,17897661,2305524,37529724,0,7435855,-63820,646794,7622753,2014
west virginia,0.865959747595542,0,92558089,-298,1003209,10993,0,0,0,0,0,0,394101,0,0,7459768,0,0,62693,0,0,0,0,0,2412049,0,0,800229,679738,772547,19719536,0,4076943,0,0,3133223,2014
wisconsin,0.885014013366596,0,218499388,632255,1361626,12044867,1548253,460572,120000,0,0,3722464,928506,6054658,0,17076430,0,572239,0,0,0,315998,0,0,1743742,0,0,0,8961033,1929961,37826974,0,6712469,0,0,7267182,2014
wyoming,0.793448301113064,0,33676491,231901,671064,15721910,720863,0,0,0,0,211228,162438,112281,0,5609051,0,268425,0,0,0,0,0,0,56667,0,0,0,499496,709998,10844347,0,3161970,0,0,1132068,2014
alabama,0.868064055411385,0,45374995,2045017,951488,3047170,1529560,0,60000,0,0,0,948420,856608,0,17201260,0,0,252130,0,0,266268,0,0,4242951,1629712,0,0,5086337,2458272,9423565,0,6021798,0,5666954,8488939,2013
alaska,0.71591330280115,0,7707023,6916896,209987,111504684,11963512,0,0,0,0,0,166616,887871,0,5373453,0,2091227,13235,0,0,0,0,30497924,248034,0,0,0,2835594,705964,2810384,0,3488087,0,0,1584006,2013
arizona,0.76171342660158,0,65452207,6526752,1342443,157067561,9345771,467896,60000,414215,0,5910777,1372486,4247550,6830449,21886840,0,1716819,701728,4236355,613936,0,0,0,2818606,0,0,0,17572398,3457398,9228798,0,7357664,0,14128257,10951714,2013
arkansas,0.872289018181818,0,31604015,5234823,373831,2365063,259406,0,60000,0,3142066,0,628905,1109714,1821955,11121637,0,0,0,0,460477,0,0,0,4031023,0,0,0,3778115,1502621,5556025,0,4906701,0,550642,5623200,2013
