region,long,lat,group,order,subregion,rho
alabama,-87.4620056152344,30.3896808624268,1,1,,0.457580599548242
alabama,-87.4849319458008,30.3724918365479,1,2,,0.457580599548242
alabama,-87.525032043457,30.3724918365479,1,3,,0.457580599548242
alabama,-87.53076171875,30.3323860168457,1,4,,0.457580599548242
alabama,-87.5708694458008,30.3266544342041,1,5,,0.457580599548242
alabama,-87.5880584716797,30.3266544342041,1,6,,0.457580599548242
alabama,-87.5937881469727,30.3094673156738,1,7,,0.457580599548242
alabama,-87.5937881469727,30.286548614502,1,8,,0.457580599548242
alabama,-87.6740036010742,30.275089263916,1,9,,0.457580599548242
alabama,-87.8115158081055,30.2579021453857,1,10,,0.457580599548242
alabama,-87.8802642822266,30.2464408874512,1,11,,0.457580599548242
alabama,-87.9203720092774,30.2464408874512,1,12,,0.457580599548242
alabama,-87.9547500610352,30.2464408874512,1,13,,0.457580599548242
alabama,-88.0063171386719,30.2407131195068,1,14,,0.457580599548242
alabama,-88.0177764892578,30.2521705627441,1,15,,0.457580599548242
alabama,-88.0120468139648,30.2693595886231,1,16,,0.457580599548242
alabama,-87.9948577880859,30.275089263916,1,17,,0.457580599548242
alabama,-87.9547500610352,30.275089263916,1,18,,0.457580599548242
alabama,-87.9031829833984,30.2808208465576,1,19,,0.457580599548242
alabama,-87.8286972045899,30.286548614502,1,20,,0.457580599548242
alabama,-87.8000564575195,30.286548614502,1,21,,0.457580599548242
alabama,-87.8000564575195,30.3266544342041,1,22,,0.457580599548242
alabama,-87.8172378540039,30.3438453674316,1,23,,0.457580599548242
alabama,-87.8401565551758,30.3839530944824,1,24,,0.457580599548242
alabama,-87.8516235351563,30.4011421203613,1,25,,0.457580599548242
alabama,-87.8745346069336,30.4125995635986,1,26,,0.457580599548242
alabama,-87.9031829833984,30.4240608215332,1,27,,0.457580599548242
alabama,-87.9261016845703,30.4469795227051,1,28,,0.457580599548242
alabama,-87.9318313598633,30.4928131103516,1,29,,0.457580599548242
alabama,-87.9432907104492,30.527193069458,1,30,,0.457580599548242
alabama,-87.9203720092774,30.5615692138672,1,31,,0.457580599548242
alabama,-87.9146423339844,30.5844879150391,1,32,,0.457580599548242
alabama,-87.9261016845703,30.6188640594482,1,33,,0.457580599548242
alabama,-87.9203720092774,30.670431137085,1,34,,0.457580599548242
alabama,-87.9490203857422,30.6990776062012,1,35,,0.457580599548242
alabama,-87.989128112793,30.7907524108887,1,36,,0.457580599548242
alabama,-88.0063171386719,30.7964820861816,1,37,,0.457580599548242
alabama,-88.0177764892578,30.802209854126,1,38,,0.457580599548242
alabama,-88.0349655151367,30.7907524108887,1,39,,0.457580599548242
alabama,-88.0464248657227,30.7563762664795,1,40,,0.457580599548242
alabama,-88.0521545410156,30.727725982666,1,41,,0.457580599548242
alabama,-88.0521545410156,30.7105388641357,1,42,,0.457580599548242
alabama,-88.063606262207,30.6876201629639,1,43,,0.457580599548242
alabama,-88.0693435668945,30.6818885803223,1,44,,0.457580599548242
alabama,-88.0808029174805,30.6303253173828,1,45,,0.457580599548242
alabama,-88.0808029174805,30.6131362915039,1,46,,0.457580599548242
alabama,-88.0979919433594,30.6074066162109,1,47,,0.457580599548242
alabama,-88.1094436645508,30.5959453582764,1,48,,0.457580599548242
alabama,-88.1151809692383,30.5844879150391,1,49,,0.457580599548242
alabama,-88.1094436645508,30.5558376312256,1,50,,0.457580599548242
alabama,-88.1209106445313,30.4813556671143,1,51,,0.457580599548242
alabama,-88.1209106445313,30.4412479400635,1,52,,0.457580599548242
alabama,-88.1266403198242,30.3896808624268,1,53,,0.457580599548242
alabama,-88.1323699951172,30.3610343933106,1,54,,0.457580599548242
alabama,-88.1438293457031,30.3438453674316,1,55,,0.457580599548242
alabama,-88.161018371582,30.3381156921387,1,56,,0.457580599548242
alabama,-88.172477722168,30.3381156921387,1,57,,0.457580599548242
alabama,-88.1896591186523,30.3553047180176,1,58,,0.457580599548242
alabama,-88.2240447998047,30.3782234191895,1,59,,0.457580599548242
alabama,-88.2354965209961,30.3954105377197,1,60,,0.457580599548242
alabama,-88.2870635986328,30.4011421203613,1,61,,0.457580599548242
alabama,-88.3157119750977,30.4011421203613,1,62,,0.457580599548242
alabama,-88.3329010009766,30.4011421203613,1,63,,0.457580599548242
alabama,-88.35009765625,30.4240608215332,1,64,,0.457580599548242
alabama,-88.3902053833008,30.4125995635986,1,65,,0.457580599548242
alabama,-88.4073867797852,30.7334575653076,1,66,,0.457580599548242
alabama,-88.4188461303711,30.9970169067383,1,67,,0.457580599548242
alabama,-88.430305480957,31.123067855835,1,68,,0.457580599548242
alabama,-88.4532241821289,31.432466506958,1,69,,0.457580599548242
alabama,-88.4646835327149,31.6960258483887,1,70,,0.457580599548242
alabama,-88.4761428833008,31.8908290863037,1,71,,0.457580599548242
alabama,-88.430305480957,32.22314453125,1,72,,0.457580599548242
alabama,-88.430305480957,32.3090896606445,1,73,,0.457580599548242
alabama,-88.3902053833008,32.5783805847168,1,74,,0.457580599548242
alabama,-88.35009765625,32.9221534729004,1,75,,0.457580599548242
alabama,-88.3386306762695,32.9851799011231,1,76,,0.457580599548242
alabama,-88.2985305786133,33.2831192016602,1,77,,0.457580599548242
alabama,-88.2756042480469,33.5294914245605,1,78,,0.457580599548242
alabama,-88.2526931762695,33.7357559204102,1,79,,0.457580599548242
alabama,-88.2068557739258,34.0623397827148,1,80,,0.457580599548242
alabama,-88.2068557739258,34.0795288085938,1,81,,0.457580599548242
alabama,-88.1839370727539,34.3144416809082,1,82,,0.457580599548242
